ASV,Timepoint,treatment_diff,Treatment,condval,Taxon,Kingdom,Phylum,Class,Order,Family,Genus,Species,ASV_ID,label,plastic_present,mode
a37c573e5e00ffe7bdd5338981e9f555,T6,-0.5210096751,ambient,-0.01209477654,Straminipila;Labyrinthulidia;Labyrinthulomycetes;Labyrinthulales;Aplanochytriaceae;Aplanochytrium;.;pass,Straminipila,Labyrinthulidia,Labyrinthulomycetes,Labyrinthulales,Aplanochytriaceae,Aplanochytrium,.;pass,ASV2966,Aplanochytrium (ASV2966),N,heterotroph
a37c573e5e00ffe7bdd5338981e9f555,T6,-0.5210096751,stress,-0.5331044516,Straminipila;Labyrinthulidia;Labyrinthulomycetes;Labyrinthulales;Aplanochytriaceae;Aplanochytrium;.;pass,Straminipila,Labyrinthulidia,Labyrinthulomycetes,Labyrinthulales,Aplanochytriaceae,Aplanochytrium,.;pass,ASV2966,Aplanochytrium (ASV2966),N,heterotroph
9bf0c39a102aa5380d2057f2b5c6ea1d,T0,-0.2447421007,ambient,-0.01221441656,Straminipila;Labyrinthulidia;Labyrinthulomycetes;Labyrinthulales;Aplanochytriaceae;Aplanochytrium;.;pass,Straminipila,Labyrinthulidia,Labyrinthulomycetes,Labyrinthulales,Aplanochytriaceae,Aplanochytrium,.;pass,ASV3000,Aplanochytrium (ASV3000),N,heterotroph
9bf0c39a102aa5380d2057f2b5c6ea1d,T0,-0.2447421007,stress,-0.2569565172,Straminipila;Labyrinthulidia;Labyrinthulomycetes;Labyrinthulales;Aplanochytriaceae;Aplanochytrium;.;pass,Straminipila,Labyrinthulidia,Labyrinthulomycetes,Labyrinthulales,Aplanochytriaceae,Aplanochytrium,.;pass,ASV3000,Aplanochytrium (ASV3000),N,heterotroph
9bf0c39a102aa5380d2057f2b5c6ea1d,T1,0.6749080841,ambient,-0.03443854038,Straminipila;Labyrinthulidia;Labyrinthulomycetes;Labyrinthulales;Aplanochytriaceae;Aplanochytrium;.;pass,Straminipila,Labyrinthulidia,Labyrinthulomycetes,Labyrinthulales,Aplanochytriaceae,Aplanochytrium,.;pass,ASV3000,Aplanochytrium (ASV3000),N,heterotroph
9bf0c39a102aa5380d2057f2b5c6ea1d,T1,0.6749080841,stress,0.6404695437,Straminipila;Labyrinthulidia;Labyrinthulomycetes;Labyrinthulales;Aplanochytriaceae;Aplanochytrium;.;pass,Straminipila,Labyrinthulidia,Labyrinthulomycetes,Labyrinthulales,Aplanochytriaceae,Aplanochytrium,.;pass,ASV3000,Aplanochytrium (ASV3000),N,heterotroph
9bf0c39a102aa5380d2057f2b5c6ea1d,T2,1.190870887,ambient,-0.06939780374,Straminipila;Labyrinthulidia;Labyrinthulomycetes;Labyrinthulales;Aplanochytriaceae;Aplanochytrium;.;pass,Straminipila,Labyrinthulidia,Labyrinthulomycetes,Labyrinthulales,Aplanochytriaceae,Aplanochytrium,.;pass,ASV3000,Aplanochytrium (ASV3000),N,heterotroph
9bf0c39a102aa5380d2057f2b5c6ea1d,T2,1.190870887,stress,1.121473083,Straminipila;Labyrinthulidia;Labyrinthulomycetes;Labyrinthulales;Aplanochytriaceae;Aplanochytrium;.;pass,Straminipila,Labyrinthulidia,Labyrinthulomycetes,Labyrinthulales,Aplanochytriaceae,Aplanochytrium,.;pass,ASV3000,Aplanochytrium (ASV3000),N,heterotroph
9bf0c39a102aa5380d2057f2b5c6ea1d,T3,-0.1127269747,ambient,-0.007450294848,Straminipila;Labyrinthulidia;Labyrinthulomycetes;Labyrinthulales;Aplanochytriaceae;Aplanochytrium;.;pass,Straminipila,Labyrinthulidia,Labyrinthulomycetes,Labyrinthulales,Aplanochytriaceae,Aplanochytrium,.;pass,ASV3000,Aplanochytrium (ASV3000),N,heterotroph
9bf0c39a102aa5380d2057f2b5c6ea1d,T3,-0.1127269747,stress,-0.1201772695,Straminipila;Labyrinthulidia;Labyrinthulomycetes;Labyrinthulales;Aplanochytriaceae;Aplanochytrium;.;pass,Straminipila,Labyrinthulidia,Labyrinthulomycetes,Labyrinthulales,Aplanochytriaceae,Aplanochytrium,.;pass,ASV3000,Aplanochytrium (ASV3000),N,heterotroph
